일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2025/12/09","199630","-1020","-0.51","200650","200770","199500","16236","3253216790"
"2025/12/08","200650","-690","-0.34","200170","201090","199930","47997","9621606070"
"2025/12/05","201340","450","0.22","200990","201620","200200","44691","8970700210"
"2025/12/04","200890","-710","-0.35","201610","201610","200820","23907","4805961790"
"2025/12/03","201600","-400","-0.20","202500","202840","201070","14340","2890154820"
"2025/12/02","202000","-800","-0.39","202800","203740","201370","17579","3548323940"
"2025/12/01","202800","2810","1.41","201300","202940","201120","21712","4385508360"
"2025/11/28","199990","1760","0.89","198230","200320","198230","10713","2140902910"
"2025/11/27","198230","-770","-0.39","200240","200240","197020","15267","3022609910"
"2025/11/26","199000","0","0.00","199010","199010","197510","17735","3519067560"
"2025/11/25","199000","2890","1.47","200000","200000","197340","27774","5507829880"
"2025/11/24","196110","620","0.32","197060","198000","195400","12696","2488531900"
"2025/11/21","195490","-1790","-0.91","198660","198660","194410","16931","3318608500"
"2025/11/20","197280","-1260","-0.63","200620","201590","196990","12216","2427493400"
"2025/11/19","198540","2080","1.06","198540","206700","196260","18999","3753979500"
"2025/11/18","196460","-3540","-1.77","199280","199280","193680","23285","4564406900"
"2025/11/17","200000","-6860","-3.32","206580","206580","198820","21636","4345004240"
"2025/11/14","206860","-3770","-1.79","210630","210630","205450","22978","4776084750"
"2025/11/13","210630","5440","2.65","211000","212380","208860","14908","3146177530"
"2025/11/12","205190","1140","0.56","205000","209150","204000","19248","3981147480"
"2025/11/11","204050","3770","1.88","202610","204130","202610","15782","3214929830"
"2025/11/10","200280","2110","1.06","202490","202490","196000","22187","4443841060"
"2025/11/07","198170","3740","1.92","195790","199610","194520","30281","5965626300"
"2025/11/06","194430","1230","0.64","193230","195400","192700","16334","3171042460"
"2025/11/05","193200","-130","-0.07","191990","193330","189850","21886","4178872990"
"2025/11/04","193330","1180","0.61","193380","193380","191400","17505","3361864360"
"2025/11/03","192150","-1080","-0.56","193240","193240","191290","21841","4195474330"
"2025/10/31","193230","7060","3.79","192900","194400","190000","16323","3140609560"
"2025/10/30","186170","-4630","-2.43","190000","190000","185000","35026","6564833280"
"2025/10/29","190800","5740","3.10","185060","192220","185060","20418","3889116760"
"2025/10/28","185060","-9440","-4.85","189830","189830","184240","50338","9382411950"
