일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2024/12/30","128420","770","0.60","130300","130300","127920","9833","1267180490"
"2024/12/27","127650","2480","1.98","126620","127820","126400","7886","1003832500"
"2024/12/26","125170","1180","0.95","123980","125500","123980","12633","1576296510"
"2024/12/24","123990","90","0.07","123920","124050","123040","5302","655533180"
"2024/12/23","123900","290","0.23","123610","124610","123610","5872","728203540"
"2024/12/20","123610","440","0.36","123170","123620","122560","2996","368519610"
"2024/12/19","123170","-650","-0.52","123820","123820","122000","5763","706618500"
"2024/12/18","123820","-450","-0.36","124000","124450","123700","4960","615080500"
"2024/12/17","124270","570","0.46","125280","125280","123520","4085","506196770"
"2024/12/16","123700","-950","-0.76","124280","124280","123100","3904","482622730"
"2024/12/13","124650","-1370","-1.09","125640","125640","123900","5795","722882740"
"2024/12/12","126020","1150","0.92","125670","126420","125670","5319","670570250"
"2024/12/11","124870","1230","0.99","124970","125490","124870","5133","642475200"
"2024/12/10","123640","580","0.47","124150","124150","123510","5578","689971270"
"2024/12/09","123060","1100","0.90","122890","123540","122400","7695","946115720"
"2024/12/06","121960","150","0.12","121810","121990","120740","3530","427523340"
"2024/12/05","121810","440","0.36","123480","123480","121280","2220","270517930"
"2024/12/04","121370","1040","0.86","121650","121690","120340","4480","543121280"
"2024/12/03","120330","900","0.75","119510","121470","119510","2936","353680050"
"2024/12/02","119430","-550","-0.46","122130","122130","119380","4618","552277890"
"2024/11/29","119980","610","0.51","119400","120000","119250","7351","878576800"
"2024/11/28","119370","-690","-0.57","120060","120100","119170","3222","385217600"
"2024/11/27","120060","300","0.25","120010","121000","119860","3960","476070240"
"2024/11/26","119760","-2000","-1.64","119950","120300","119530","5977","716350600"
"2024/11/25","121760","-1030","-0.84","123100","124920","121080","10286","1265172130"
"2024/11/22","122790","1220","1.00","121880","122870","121410","5984","732670010"
"2024/11/21","121570","1540","1.28","120040","121620","120040","4261","517689170"
"2024/11/20","120030","1210","1.02","121000","121000","119500","5869","703657740"
"2024/11/19","118820","1850","1.58","119970","119970","118300","6324","750172290"
"2024/11/18","116970","1260","1.09","119800","119800","115710","12781","1487089560"
"2024/11/15","115710","-170","-0.15","115880","116800","115560","14833","1721137900"
"2024/11/14","115880","-3580","-3.00","119370","119370","115800","5094","595689180"
"2024/11/13","119460","1370","1.16","118090","119540","117670","4448","528084590"
"2024/11/12","118090","-2850","-2.36","120860","120860","117740","8469","1002398370"
"2024/11/11","120940","-1350","-1.10","126500","126500","120010","6492","785255540"
"2024/11/08","122290","690","0.57","121630","125250","121630","7245","892150690"
"2024/11/07","121600","-4990","-3.94","125980","125980","115000","12234","1485054770"
"2024/11/06","126590","-1510","-1.18","128100","128100","125600","9568","1215682370"
"2024/11/05","128100","-380","-0.30","128470","128470","120990","16042","1982353860"
"2024/11/04","128480","-3830","-2.89","132310","132310","128450","7164","933733220"
"2024/11/01","132310","-80","-0.06","133000","133000","130400","7778","1025721840"
"2024/10/31","132390","-660","-0.50","133000","146350","131000","8685","1173291160"
"2024/10/30","133050","2280","1.74","130770","133090","130770","6078","805007800"
"2024/10/29","130770","130","0.10","130660","131140","130560","5815","760128800"
"2024/10/28","130640","-20","-0.02","133380","133380","130640","7269","954460340"
"2024/10/25","130660","-940","-0.71","131600","133270","130200","10403","1374713340"
"2024/10/24","131600","90","0.07","131510","133260","129520","7782","1020648150"
